gene_stable_id	accession	gene_display_label	gene_desc	gene_biotype	chr_name	gene_start	gene_end	gene_strand	gene_source	gene_version	trans_stable_id	prot_stable_id	display_label	info_type	target_chembl_id	db_source	target_type	pref_name	action_types	molecue_summary	max_molecule_phase_for_target	priority	drug_type	status
ENSG00000002586	P14209	CD99	CD99 molecule [Source:HGNC Symbol;Acc:7082]	protein_coding	X	2609220	2659350	1	ensembl_havana	13	ENST00000381192|ENST00000381187	ENSP00000370588|ENSP00000370582	CD99_HUMAN	DIRECT								4	BIO_MOL	ORIGINAL
ENSG00000002587	O14792	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]	protein_coding	4	11394774	11431389	-1	ensembl_havana	5	ENST00000002596	ENSP00000002596	HS3S1_HUMAN	DIRECT								4	BIO_MOL	ORIGINAL
ENSG00000002726	P19801	AOC1	amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:80]	protein_coding	7	150521715	150558592	1	ensembl_havana	15	ENST00000493429|ENST00000467291|ENST00000360937	ENSP00000418614|ENSP00000418328|ENSP00000354193	AOC1_HUMAN	DIRECT	CHEMBL2118	SWISS-PROT	SINGLE PROTEIN	Diamine oxidase	ACTIVATOR	CHEMBL2105233 [PROXIBARBAL][4][ACTIVATOR][Small molecule]	4	2	BIO_MOL | SMALL_MOL	ORIGINAL
ENSG00000002745	Q9UBV4	WNT16	wingless-type MMTV integration site family, member 16 [Source:HGNC Symbol;Acc:16267]	protein_coding	7	120965421	120981158	1	ensembl_havana	8	ENST00000222462	ENSP00000222462	WNT16_HUMAN	DIRECT								3	BIO_MOL	ORIGINAL
ENSG00000003056	P20645	M6PR	mannose-6-phosphate receptor (cation dependent) [Source:HGNC Symbol;Acc:6752]	protein_coding	12	9092959	9102551	-1	ensembl_havana	3	ENST00000000412	ENSP00000000412	MPRD_HUMAN	DIRECT								3	BIO_MOL	ORIGINAL
ENSG00000003096	Q9P2N7	KLHL13	kelch-like family member 13 [Source:HGNC Symbol;Acc:22931]	protein_coding	X	117031776	117251303	-1	ensembl_havana	9	ENST00000371882|ENST00000371876|ENST00000371878|ENST00000447671|ENST00000469946|ENST00000541812|ENST00000540167|ENST00000539496|ENST00000262820|ENST00000545703	ENSP00000360949|ENSP00000360943|ENSP00000360945|ENSP00000412640|ENSP00000419803|ENSP00000444450|ENSP00000441029|ENSP00000443191|ENSP00000262820|ENSP00000440707	KLH13_HUMAN	DIRECT								4	SMALL_MOL	ORIGINAL
ENSG00000003137	Q9NR63	CYP26B1	cytochrome P450, family 26, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:20581]	protein_coding	2	72356367	72375167	-1	ensembl_havana	4	ENST00000001146|ENST00000546307	ENSP00000001146|ENSP00000443304	CP26B_HUMAN	DIRECT								4	SMALL_MOL	ORIGINAL
ENSG00000003400	Q92851	CASP10	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]	protein_coding	2	202047604	202094129	1	ensembl_havana	10	ENST00000286186|ENST00000272879|ENST00000374650|ENST00000346817|ENST00000313728|ENST00000448480|ENST00000360132	ENSP00000286186|ENSP00000272879|ENSP00000363781|ENSP00000237865|ENSP00000314599|ENSP00000396835|ENSP00000353250	CASPA_HUMAN	DIRECT	CHEMBL3831289	SWISS-PROT	PROTEIN FAMILY	Caspase	INHIBITOR	CHEMBL197672 [EMRICASAN][2][INHIBITOR][Small molecule]	2	2	SMALL_MOL	CHEMBL_MECHANISM
ENSG00000003436	P10646	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:11760]	protein_coding	2	188328957	188430487	-1	ensembl_havana	10	ENST00000392365|ENST00000409676|ENST00000339091|ENST00000233156	ENSP00000376172|ENSP00000386344|ENSP00000342306|ENSP00000233156	TFPI1_HUMAN	DIRECT								3	BIO_MOL	ORIGINAL
ENSG00000004468	P28907	CD38	CD38 molecule [Source:HGNC Symbol;Acc:1667]	protein_coding	4	15779898	15854853	1	ensembl_havana	8	ENST00000502843|ENST00000226279	ENSP00000427277|ENSP00000226279	CD38_HUMAN	DIRECT	CHEMBL4660	SWISS-PROT	SINGLE PROTEIN	Lymphocyte differentiation antigen CD38	INHIBITOR|BINDING AGENT	CHEMBL1743007 [DARATUMUMAB][4][INHIBITOR][Antibody]|CHEMBL3545131 [ISATUXIMAB][3][INHIBITOR][Antibody]|CHEMBL2109468 [HUMAX-IL15][2][INHIBITOR][Antibody]|CHEMBL2109269 [HUMAX-CD38][2][BINDING AGENT][Antibody]	4	1	BIO_MOL	ORIGINAL
ENSG00000004478	Q02790	FKBP4	FK506 binding protein 4, 59kDa [Source:HGNC Symbol;Acc:3720]	protein_coding	12	2904119	2914576	1	ensembl_havana	5	ENST00000001008	ENSP00000001008	FKBP4_HUMAN	DIRECT								1	SMALL_MOL	ORIGINAL
ENSG00000004487	O60341	KDM1A	lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:29079]	protein_coding	1	23345941	23410182	1	ensembl_havana	11	ENST00000356634|ENST00000400181	ENSP00000349049|ENSP00000383042	KDM1A_HUMAN	DIRECT								2	SMALL_MOL	ORIGINAL
ENSG00000004660	Q8N5S9	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:1469]	protein_coding	17	3763609	3798185	-1	ensembl_havana	10	ENST00000348335|ENST00000158166	ENSP00000323118|ENSP00000158166	KKCC1_HUMAN	DIRECT								1	SMALL_MOL	ORIGINAL
ENSG00000004700	P46063	RECQL	RecQ protein-like (DNA helicase Q1-like) [Source:HGNC Symbol;Acc:9948]	protein_coding	12	21621845	21654603	-1	ensembl_havana	11	ENST00000444129|ENST00000421138	ENSP00000416739|ENSP00000395449	RECQ1_HUMAN	DIRECT								1	SMALL_MOL	ORIGINAL
ENSG00000004779	O14561	NDUFAB1	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:7694]	protein_coding	16	23592323	23607677	-1	ensembl_havana	5	ENST00000007516|ENST00000570319	ENSP00000007516|ENSP00000458770	ACPM_HUMAN	DIRECT	CHEMBL2363065	SWISS-PROT	PROTEIN COMPLEX	Mitochondrial complex I (NADH dehydrogenase)	INHIBITOR	CHEMBL1703 [METFORMIN HYDROCHLORIDE][4][INHIBITOR][Small molecule]|CHEMBL3545320 [ME-344][1][INHIBITOR][Small molecule]|CHEMBL3545135 [NV-128][1][INHIBITOR][Small molecule]	4	1	SMALL_MOL	CHEMBL_MECHANISM
ENSG00000004799	Q16654	PDK4	pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:8812]	protein_coding	7	95212811	95225803	-1	ensembl_havana	7	ENST00000005178	ENSP00000005178	PDK4_HUMAN	DIRECT	CHEMBL2096665	SWISS-PROT	PROTEIN FAMILY	Pyruvate dehydrogenase kinase	INHIBITOR	CHEMBL306823 [SODIUM DICHLOROACETATE][4][INHIBITOR][Small molecule]	4	1	SMALL_MOL	ANNA_NEW
ENSG00000004809	Q86VW1	SLC22A16	solute carrier family 22 (organic cation/carnitine transporter), member 16 [Source:HGNC Symbol;Acc:20302]	protein_coding	6	110745890	110797844	-1	ensembl_havana	9	ENST00000368919|ENST00000330550|ENST00000439654	ENSP00000357915|ENSP00000328583|ENSP00000408799	S22AG_HUMAN	DIRECT								1	ADME | SMALL_MOL	ORIGINAL
ENSG00000004846	Q2M3G0	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5 [Source:HGNC Symbol;Acc:46]	protein_coding	7	20654830	20816658	1	ensembl_havana	12	ENST00000404938|ENST00000443026|ENST00000406935|ENST00000258738	ENSP00000384881|ENSP00000406730|ENSP00000383899|ENSP00000258738	ABCB5_HUMAN	DIRECT								1	ADME | SMALL_MOL	ORIGINAL
ENSG00000004939	P02730	SLC4A1	solute carrier family 4 (anion exchanger), member 1 (Diego blood group) [Source:HGNC Symbol;Acc:11027]	protein_coding	17	42325753	42345509	-1	ensembl_havana	9	ENST00000262418	ENSP00000262418	B3AT_HUMAN	DIRECT								3	BIO_MOL	ORIGINAL
ENSG00000004948	P30988	CALCR	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	protein_coding	7	93053799	93204042	-1	ensembl_havana	9	ENST00000423724|ENST00000415529	ENSP00000391369|ENSP00000413179	CALCR_HUMAN	DIRECT	CHEMBL1832	SWISS-PROT	SINGLE PROTEIN	Calcitonin receptor	AGONIST	CHEMBL1201614 [CALCITONIN HUMAN][4][AGONIST][Protein]|CHEMBL1201445 [CALCITONIN SALMON][4][AGONIST][Protein]|CHEMBL1201661 [CALCITONIN SALMON RECOMBINANT][4][AGONIST][Protein]|CHEMBL3545415 [SMC021][3][AGONIST][Protein]|CHEMBL3989767 [CALCITONIN][4][AGONIST][Protein]	4	1	BIO_MOL | SMALL_MOL	ORIGINAL
ENSG00000004948	P30988	CALCR	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	protein_coding	7	93053799	93204042	-1	ensembl_havana	9	ENST00000423724|ENST00000415529	ENSP00000391369|ENSP00000413179	CALCR_HUMAN	DIRECT	CHEMBL2111189	SWISS-PROT	PROTEIN COMPLEX	Amylin receptor AMY1, CALCR/RAMP1	AGONIST	CHEMBL3833353 [PRAMLINTIDE ACETATE][4][AGONIST][Protein]|CHEMBL2105635 [DAVALINTIDE][2][AGONIST][Protein]	4	1	BIO_MOL | SMALL_MOL	ORIGINAL
ENSG00000004948	P30988	CALCR	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	protein_coding	7	93053799	93204042	-1	ensembl_havana	9	ENST00000423724|ENST00000415529	ENSP00000391369|ENSP00000413179	CALCR_HUMAN	DIRECT	CHEMBL2111190	SWISS-PROT	PROTEIN COMPLEX	Amylin receptor AMY3; CALCR/RAMP3	AGONIST	CHEMBL3833353 [PRAMLINTIDE ACETATE][4][AGONIST][Protein]	4	1	BIO_MOL | SMALL_MOL	ORIGINAL
ENSG00000004948	P30988	CALCR	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	protein_coding	7	93053799	93204042	-1	ensembl_havana	9	ENST00000423724|ENST00000415529	ENSP00000391369|ENSP00000413179	CALCR_HUMAN	DIRECT	CHEMBL2364173	SWISS-PROT	PROTEIN COMPLEX	Amylin receptor AMY2; CALCR/RAMP2	AGONIST	CHEMBL3833353 [PRAMLINTIDE ACETATE][4][AGONIST][Protein]	4	1	BIO_MOL | SMALL_MOL	ORIGINAL
ENSG00000005001	Q9GZN4	PRSS22	protease, serine, 22 [Source:HGNC Symbol;Acc:14368]	protein_coding	16	2902728	2908171	-1	ensembl_havana	5	ENST00000161006	ENSP00000161006	BSSP4_HUMAN	DIRECT								4	BIO_MOL	ORIGINAL
ENSG00000005339	Q92793	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:2348]	protein_coding	16	3775055	3930727	-1	ensembl_havana	8	ENST00000262367|ENST00000382070	ENSP00000262367|ENSP00000371502	CBP_HUMAN	DIRECT								2	SMALL_MOL	ORIGINAL
ENSG00000005381	P05164	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:7218]	protein_coding	17	56347217	56358296	-1	ensembl_havana	6	ENST00000225275|ENST00000340482	ENSP00000225275|ENSP00000344419	PERM_HUMAN	DIRECT								1	ADME | BIO_MOL | SMALL_MOL	ORIGINAL
ENSG00000005421	P27169	PON1	paraoxonase 1 [Source:HGNC Symbol;Acc:9204]	protein_coding	7	94926988	95025673	-1	ensembl_havana	4	ENST00000222381	ENSP00000222381	PON1_HUMAN	DIRECT								1	ADME | BIO_MOL	ORIGINAL
ENSG00000005471	P21439	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4 [Source:HGNC Symbol;Acc:45]	protein_coding	7	87031013	87109751	-1	ensembl_havana	11	ENST00000359206|ENST00000265723|ENST00000453593|ENST00000358400|ENST00000545634	ENSP00000352135|ENSP00000265723|ENSP00000392983|ENSP00000351172|ENSP00000437465	MDR3_HUMAN	DIRECT								1	ADME | BIO_MOL	ORIGINAL
ENSG00000005844	P20701	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:6148]	protein_coding	16	30483979	30534506	1	ensembl_havana	13	ENST00000356798|ENST00000358164	ENSP00000349252|ENSP00000350886	ITAL_HUMAN	DIRECT	CHEMBL1803	SWISS-PROT	SINGLE PROTEIN	Leukocyte adhesion glycoprotein LFA-1 alpha	INHIBITOR	CHEMBL2109177 [ODULIMOMAB][3][INHIBITOR][Antibody]	3	1	BIO_MOL | SMALL_MOL	ORIGINAL
ENSG00000005844	P20701	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:6148]	protein_coding	16	30483979	30534506	1	ensembl_havana	13	ENST00000356798|ENST00000358164	ENSP00000349252|ENSP00000350886	ITAL_HUMAN	DIRECT	CHEMBL2364172	SWISS-PROT	PROTEIN COMPLEX	Integrin alpha-L/beta-2 (LFA-1)	INHIBITOR|ANTAGONIST	CHEMBL1201575 [EFALIZUMAB][4][INHIBITOR][Antibody]|CHEMBL2048028 [LIFITEGRAST][4][ANTAGONIST][Small molecule]|CHEMBL2109224 [ROVELIZUMAB][2][ANTAGONIST][Antibody]	4	1	BIO_MOL | SMALL_MOL	ORIGINAL
ENSG00000005882	Q15119	PDK2	pyruvate dehydrogenase kinase, isozyme 2 [Source:HGNC Symbol;Acc:8810]	protein_coding	17	48172101	48189516	1	ensembl_havana	7	ENST00000007708|ENST00000503176	ENSP00000007708|ENSP00000420927	PDK2_HUMAN	DIRECT	CHEMBL2096665	SWISS-PROT	PROTEIN FAMILY	Pyruvate dehydrogenase kinase	INHIBITOR	CHEMBL306823 [SODIUM DICHLOROACETATE][4][INHIBITOR][Small molecule]	4	1	SMALL_MOL	ANNA_NEW
ENSG00000005884	P26006	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]	protein_coding	17	48133332	48167845	1	ensembl_havana	13	ENST00000320031|ENST00000007722	ENSP00000315190|ENSP00000007722	ITA3_HUMAN	DIRECT								4	BIO_MOL	ORIGINAL
ENSG00000005893	P13473	LAMP2	lysosomal-associated membrane protein 2 [Source:HGNC Symbol;Acc:6501]	protein_coding	X	119561682	119603220	-1	ensembl_havana	11	ENST00000434600|ENST00000200639|ENST00000371335	ENSP00000408411|ENSP00000200639|ENSP00000360386	LAMP2_HUMAN	DIRECT								4	BIO_MOL	ORIGINAL
ENSG00000005961	P08514	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]	protein_coding	17	42449548	42466873	-1	ensembl_havana	13	ENST00000262407|ENST00000353281	ENSP00000262407|ENSP00000340536	ITA2B_HUMAN	DIRECT	CHEMBL2093869	SWISS-PROT	PROTEIN COMPLEX	Integrin alpha-IIb/beta-3	INHIBITOR|ANTAGONIST	CHEMBL1201584 [ABCIXIMAB][4][INHIBITOR][Antibody]|CHEMBL1174 [EPTIFIBATIDE][4][INHIBITOR][Protein]|CHEMBL3189072 [TIROFIBAN HYDROCHLORIDE][4][INHIBITOR][Small molecule]|CHEMBL1743076 [TADOCIZUMAB][2][ANTAGONIST][Antibody]	4	1	BIO_MOL | SMALL_MOL	ORIGINAL
ENSG00000006016	O75462	CRLF1	cytokine receptor-like factor 1 [Source:HGNC Symbol;Acc:2364]	protein_coding	19	18683030	18718551	-1	ensembl_havana	6	ENST00000392386	ENSP00000376188	CRLF1_HUMAN	DIRECT								3	BIO_MOL	ORIGINAL
ENSG00000006062		MAP3K14	mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:6853]	processed_transcript	17	43340488	43394414	-1	ensembl_havana	9												2	SMALL_MOL	ORIGINAL
ENSG00000006071	Q09428	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]	protein_coding	11	17414432	17498449	-1	ensembl_havana	7	ENST00000389817|ENST00000302539	ENSP00000374467|ENSP00000303960	ABCC8_HUMAN	DIRECT	CHEMBL2095152	SWISS-PROT	PROTEIN COMPLEX GROUP	Sulfonylurea receptors; K-ATP channels	OPENER	CHEMBL2104449 [SARAKALIM][0][OPENER][Small molecule]|CHEMBL2105160 [NAMINIDIL][0][OPENER][Small molecule]	0	1	ADME | BIO_MOL | SMALL_MOL	ORIGINAL
ENSG00000006071	Q09428	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]	protein_coding	11	17414432	17498449	-1	ensembl_havana	7	ENST00000389817|ENST00000302539	ENSP00000374467|ENSP00000303960	ABCC8_HUMAN	DIRECT	CHEMBL2096972	SWISS-PROT	PROTEIN COMPLEX	Sulfonylurea receptor 1, Kir6.2	BLOCKER	CHEMBL1481 [GLIMEPIRIDE][4][BLOCKER][Small molecule]|CHEMBL472 [GLYBURIDE][4][BLOCKER][Small molecule]|CHEMBL498 [CHLORPROPAMIDE][4][BLOCKER][Small molecule]|CHEMBL1200874 [TOLBUTAMIDE SODIUM, STERILE][4][BLOCKER][Small molecule]|CHEMBL1073 [GLIPIZIDE][4][BLOCKER][Small molecule]|CHEMBL1589 [ACETOHEXAMIDE][4][BLOCKER][Small molecule]|CHEMBL817 [TOLAZAMIDE][4][BLOCKER][Small molecule]|CHEMBL1272 [REPAGLINIDE][4][BLOCKER][Small molecule]|CHEMBL783 [NATEGLINIDE][4][BLOCKER][Small molecule]|CHEMBL782 [TOLBUTAMIDE][4][BLOCKER][Small molecule]	4	1	ADME | BIO_MOL | SMALL_MOL	ORIGINAL
ENSG00000006074	P55774	CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated) [Source:HGNC Symbol;Acc:10616]	protein_coding	17	34391640	34399392	1	ensembl_havana	4	ENST00000004921	ENSP00000004921	CCL18_HUMAN	DIRECT								4	BIO_MOL	ORIGINAL
ENSG00000006075	P10147	CCL3	chemokine (C-C motif) ligand 3 [Source:HGNC Symbol;Acc:10627]	protein_coding	17	34415602	34417515	-1	ensembl_havana	11	ENST00000225245	ENSP00000225245	CCL3_HUMAN	DIRECT								4	BIO_MOL	ORIGINAL
ENSG00000006116	O60359	CACNG3	calcium channel, voltage-dependent, gamma subunit 3 [Source:HGNC Symbol;Acc:1407]	protein_coding	16	24266874	24374122	1	ensembl_havana	3	ENST00000005284	ENSP00000005284	CCG3_HUMAN	DIRECT	CHEMBL2363032	SWISS-PROT	PROTEIN COMPLEX GROUP	Voltage-gated calcium channel	BLOCKER|MODULATOR	CHEMBL1200382 [BEPRIDIL HYDROCHLORIDE][4][BLOCKER][Small molecule]|CHEMBL1059 [PREGABALIN][4][MODULATOR][Small molecule]|CHEMBL940 [GABAPENTIN][4][MODULATOR][Small molecule]|CHEMBL1628502 [GABAPENTIN ENACARBIL][4][MODULATOR][Small molecule]|CHEMBL593430 [ATAGABALIN][2][MODULATOR][Small molecule]|CHEMBL2103836 [IMAGABALIN][3][MODULATOR][Small molecule]|CHEMBL404849 [SULOCTIDIL][4][BLOCKER][Small molecule]|CHEMBL539770 [TERODILINE HYDROCHLORIDE][4][BLOCKER][Small molecule]	4	4	SMALL_MOL	ORIGINAL
ENSG00000006128	P20366	TAC1	tachykinin, precursor 1 [Source:HGNC Symbol;Acc:11517]	protein_coding	7	97361220	97369784	1	ensembl_havana	7	ENST00000319273|ENST00000350485|ENST00000346867	ENSP00000321106|ENSP00000289576|ENSP00000289574	TKN1_HUMAN	DIRECT								4	BIO_MOL	ORIGINAL
ENSG00000006210	P78423	CX3CL1	chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:10647]	protein_coding	16	57406370	57418960	1	ensembl_havana	6	ENST00000006053	ENSP00000006053	X3CL1_HUMAN	DIRECT								4	BIO_MOL	ORIGINAL
ENSG00000006283	O43497	CACNA1G	calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:HGNC Symbol;Acc:1394]	protein_coding	17	48638429	48704835	1	ensembl_havana	13	ENST00000360761|ENST00000352832|ENST00000442258|ENST00000502264|ENST00000512389|ENST00000513964|ENST00000514717|ENST00000510366|ENST00000503485|ENST00000507510|ENST00000511765|ENST00000507336|ENST00000506406|ENST00000504076|ENST00000513689|ENST00000507609|ENST00000503436|ENST00000510115|ENST00000515165|ENST00000514181|ENST00000515765|ENST00000514079|ENST00000507896|ENST00000511768|ENST00000505165|ENST00000503607|ENST00000515411|ENST00000429973|ENST00000359106|ENST00000358244|ENST00000354983	ENSP00000353990|ENSP00000339302|ENSP00000409759|ENSP00000425522|ENSP00000426261|ENSP00000425451|ENSP00000422407|ENSP00000426814|ENSP00000427238|ENSP00000423112|ENSP00000427247|ENSP00000420918|ENSP00000426313|ENSP00000425153|ENSP00000426172|ENSP00000423045|ENSP00000427231|ENSP00000427173|ENSP00000426098|ENSP00000425698|ENSP00000426232|ENSP00000423317|ENSP00000421518|ENSP00000424664|ENSP00000422268|ENSP00000426558|ENSP00000423155|ENSP00000414388|ENSP00000352011|ENSP00000350979|ENSP00000347078	CAC1G_HUMAN	DIRECT	CHEMBL2362995	SWISS-PROT	PROTEIN FAMILY	Voltage-gated T-type calcium channel	BLOCKER	CHEMBL797 [PHENSUXIMIDE][4][BLOCKER][Small molecule]|CHEMBL1100 [PARAMETHADIONE][4][BLOCKER][Small molecule]|CHEMBL697 [METHSUXIMIDE][4][BLOCKER][Small molecule]|CHEMBL696 [ETHOSUXIMIDE][4][BLOCKER][Small molecule]|CHEMBL695 [TRIMETHADIONE][4][BLOCKER][Small molecule]|CHEMBL1534525 [MIBEFRADIL DIHYDROCHLORIDE][4][BLOCKER][Small molecule]	4	1	SMALL_MOL	ORIGINAL
